draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
837,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
838,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
839,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
840,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
841,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
842,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
843,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
844,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
845,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
846,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
847,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
848,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
849,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
850,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1200,-800
851,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
852,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
853,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
854,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
855,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
856,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
857,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
858,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
859,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,2200,200
860,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
861,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
862,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
863,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
864,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
865,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
866,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
867,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
868,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
869,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
870,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
871,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
872,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
873,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
874,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,2000,0
875,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,700,-1300
876,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
877,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
878,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
879,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
880,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
881,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
882,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
883,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1200,-800
884,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
885,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
886,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
887,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
888,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
889,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
890,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,1800,-200
891,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
892,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
893,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
894,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
895,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
896,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
897,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
898,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
899,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1100,-900
900,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
901,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
902,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
903,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
904,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
905,D_prize_roi_OOS_secondhalf,3,2,0,0,2000,1800,-200
906,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
907,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
